Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"DELAHAY, Charles",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"FISHER, Franlyn Wood",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"HUDSON, Henry Louis",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"MUELLER, Norbert Edward",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"PLAXTON, Herbert Alfred",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"PLAXTON, Hugh John",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"PLAXTON, Rogers Hayward",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"PORTER, John Chester",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"SULLIVAN, Frank Gerald",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"SULLIVAN, Joseph Taylor",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"TAYLOR, Ross Croft",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,"TROTTIER, David",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"COCKBURN, William George",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"CROWLEY, Clifford",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"DUNCANSON, Albert",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"GARBUTT, George",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"HINKEL, Roy",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"LINDQUIST, C. Victor",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"MALLOY, Norman",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"MONSON, Walter",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"MOORE, Kenneth",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"RIVERS, N.Romeo",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"SIMPSON, Harold",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"SUTHERLAND, Hugh",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"WAGNER, W. Stanley",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,"WISE, J. Alliston",CAN,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"DEACON, Maxwell Arnold",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"FARGUHARSON, Hugh",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"FARMER-HORN, Kenneth",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"HAGGARTY, James",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"KITCHEN, Walter",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MILTON, Raymond",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MOORE, Francis",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MURRAY, Herman",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"NASH, Arthur",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"NEVILLE, David John",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"SINCLAIR, Alexander",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"ST.GERMAIN, Ralph",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"THOMSON, William",CAN,Men,Ice Hockey,Silver
1948,St.Moritz,Ice Hockey,"BROOKS, H.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"DOWEY, Murray Albert",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"DUNSTER, Bernard Frank",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"FORBES, R.A.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GILPIN, A.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GRAVELLE, Jean Orval",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GUZZO, Patrick",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"HALDER, Walter Edwin",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"HIBBERD, Thomas Edward",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"KING, Ross",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"LAPERRIERE, Henri-Andre",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"LECOMPTE, John Howard",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"LEICHNITZ, J.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"MARA, George Edward",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"RENAUD, Albert Romeo",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"SCHROETER, Reginald John",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"TAYLOR, Irving",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"ABEL, George Gordon",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"DAVIES, John Francis",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"DAWE, Billie",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"DICKSON, Robert Bruce",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"GAUF, Donald Valentine",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"GIBSON, William James",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"HANSCH, Ralph Lawrence",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"MEYERS, Robert Roderick",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"MILLER, David Engelberg",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"PATERSON, Eric Evan",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"POLLOCK, Thomas Allen",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"PURVIS, Alan Ruggles",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"ROBERTSON, Gordon",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"SECCO, Louis John",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"SULLIVAN, Francis Cornelius",CAN,Men,Ice Hockey,Gold
1952,Oslo,Ice Hockey,"WATT, Robert",CAN,Men,Ice Hockey,Gold
1956,Cortina d'Ampezzo,Ice Hockey,"BRODEUR, Denis",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"BROOKER, Charles",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"COLVIN, William",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"HORNE, Alfred James",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"HURST, Arthur",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"KLINCK, Byrle",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"KNOX, Paul",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LEE, Howard Stewart",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LOGAN, James",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"MARTIN, Floyd",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"MCKENZIE, John A.",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"ROPE, Donald",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"SCHOLES, George",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"THEBERGE, Gerry",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"WHITE, Robert",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"WOODALL, Keith Eugene",CAN,Men,Ice Hockey,Bronze
1960,Squaw Valley,Ice Hockey,"ATTERSLEY, Robert",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"BENOIT, Maurice",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"CONNELLY, James",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"DOUGLAS, Jack",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"ETCHER, Fred",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"FORHAN, Robert",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"HEAD, Donald Charles",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"HURLEY, Harold",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"MARTIN, Floyd",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"MCKNIGHT, Robert",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"PENNINGTON, Clifford",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"ROPE, Donald",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"ROUSSEAU, Robert",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"SAMOLENKO, George",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"SINDEN, Harry",CAN,Men,Ice Hockey,Silver
1960,Squaw Valley,Ice Hockey,"SLY, Darryl Hayward",CAN,Men,Ice Hockey,Silver
1968,Grenoble,Ice Hockey,"BOURBONNAIS, Roger",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"BRODERICK, Kenneth",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"CADIEUX, Raymond",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"CONLIN, Paul",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"DINEEN, Gary",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"GLENNIE, Brian",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"HARGREAVES, Ted",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"HUCK, Francis",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"JOHNSTON, Larry Marshall",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"MCKENZIE, John Barry",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"MCMILLAN, William",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"MONTEITH, Stephen",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"MOTT, Morris",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"O'MALLEY, Terrence",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"O'SHEA, Danny",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"PINDER, Gerry",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"PINDER, Herbert",CAN,Men,Ice Hockey,Bronze
1968,Grenoble,Ice Hockey,"STEPHENSON, Wayne",CAN,Men,Ice Hockey,Bronze
1992,Albertville,Ice Hockey,"ARCHIBALD, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"BROST, Todd",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"BURKE, Sean",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"DAHL, Kevin",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"GILES, Curtis",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"HANNAN, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"HYNES, Gordon",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"JOSEPH, Fabian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"JUNEAU, Joe",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"KIDD, Trevor",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LEBEAU, Patrick",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LINDBERG, Chris",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LINDROS, Eric",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"MANDERVILLE, Kent",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"PLAVSIC, Adrian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"RATUSHNY, Dan",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SMITH, Randy",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"ST.LAURENT, Sam",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"TIPPETT, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"TUTT, Brian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"WOOLLEY, Jason",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"ASTLEY, Mark",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"AUCOIN, Adrian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HARLOCK, David",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HIRSCH, Corey",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HLUSHKO, Todd",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOHNSON, Greg",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOSEPH, Fabian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KARIYA, Paul",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KONTOS, Chris",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"LEGACE, Manny",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"LOVSIN, Ken",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"MAYER, Derek",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"NEDVED, Peter",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"NORRIS, Dwayne",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"PARKS, Greg",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"ROY, Allain",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"ROY, Jean Yves",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SAVAGE, Brian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"THERIEN, Chris",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"WARRINER, Todd",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"WERENKA, Brad",CAN,Men,Ice Hockey,Silver
2002,Salt Lake City,Ice Hockey,"BELFOUR, Ed",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"BLAKE, Rob",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"BREWER, Eric",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"BRODEUR, Martin",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"FLEURY, Theo",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"FOOTE, Adam",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"GAGNE, Simon",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"IGINLA, Jarome",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"JOSEPH, Curtis",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"JOVANOVSKI, Ed",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"KARIYA, Paul",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"LEMIEUX, Mario",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"LINDROS, Eric",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"MACINNIS, Al",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"NIEDERMAYER, Scott",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"NIEUWENDYK, Joe",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"NOLAN, Owen",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"PECA, Mike",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"PRONGER, Chris",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"SAKIC, Joe",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"SHANAHAN, Brendan",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"SMYTH, Ryan",CAN,Men,Ice Hockey,Gold
2002,Salt Lake City,Ice Hockey,"YZERMAN, Steve",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"BERGERON, Patrice",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"BOYLE, Dan",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"BRODEUR, Martin",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"CROSBY, Sidney",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"DOUGHTY, Drew",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"FLEURY, Marc-Andre",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"GETZLAF, Ryan",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"HEATLEY, Dany",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"IGINLA, Jarome",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"KEITH, Duncan",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"LUONGO, Roberto",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"MARLEAU, Patrick",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"MORROW, Brenden",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"NASH, Rick",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"NIEDERMAYER, Scott",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"PERRY, Corey",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"PRONGER, Chris",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"RICHARDS, Mike",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"SEABROOK, Brent",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"STAAL, Eric",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"THORNTON, Joe",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"TOEWS, Jonathan",CAN,Men,Ice Hockey,Gold
2010,Vancouver,Ice Hockey,"WEBER, Shea",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"BENN, Jamie",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"BERGERON, Patrice",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"BOUWMEESTER, Jay",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"CARTER, Jeff",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"CROSBY, Sidney",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"DOUGHTY, Drew",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"DUCHENE, Matt",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"GETZLAF, Ryan",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"HAMHUIS, Dan",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"KEITH, Duncan",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"KUNITZ, Chris",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"LUONGO, Roberto",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"MARLEAU, Patrick",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"NASH, Rick",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"PERRY, Corey",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"PIETRANGELO, Alex",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"PRICE, Carey",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"SHARP, Patrick",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"SMITH, Mike",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"ST-LOUIS, Martin",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"SUBBAN, Pk",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"TAVARES, John",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"TOEWS, Jonathan",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"VLASIC, Marc-Edouard",CAN,Men,Ice Hockey,Gold
2014,Sochi,Ice Hockey,"WEBER, Shea",CAN,Men,Ice Hockey,Gold